,mw_u,mw_p,ks_stat,ks_p,t_stat,t_p,horizon,comparison,symbol
537,273.0,0.8133912979939016,0.24210526315789474,0.42019631287016646,0.061691307267263545,0.9510712802643466,60,double_top_vs_ma_crossover,VRTX
538,146.0,0.32062959134929303,0.21052631578947367,0.808061649945869,-1.2630093127358464,0.215932617312806,60,double_top_vs_random,VRTX
539,249.0,0.4663414515814137,0.21052631578947367,0.5901688372019652,-1.2391727399562336,0.22284336745282943,60,ma_crossover_vs_random,VRTX
540,215.0,0.49109716261942093,0.2868421052631579,0.31213297311377297,0.6054656145928481,0.5489477251133572,5,double_top_vs_ma_crossover,VST
541,222.0,0.23118488824631533,0.3157894736842105,0.3056890512159651,0.844323044415634,0.4046857694337338,5,double_top_vs_random,VST
542,193.0,0.943999504901491,0.14210526315789473,0.9605989296756817,0.2753213145205848,0.7846015784302556,5,ma_crossover_vs_random,VST
543,142.0,0.27280642596655125,0.2777777777777778,0.3860276780190337,-0.9791205636893094,0.3340865494160551,20,double_top_vs_ma_crossover,VST
544,95.0,0.02173955302779693,0.5730994152046783,0.001951494049960946,-2.698456812946465,0.010653475492787697,20,double_top_vs_random,VST
545,127.0,0.07907160885075645,0.4342105263157895,0.03725866408073691,-1.7673758478572057,0.08549647522307659,20,ma_crossover_vs_random,VST
546,134.0,0.18333096939409588,0.42777777777777776,0.042767828992543465,-1.3524061361098796,0.18496862985607,60,double_top_vs_ma_crossover,VST
547,160.0,0.7496077756018789,0.195906432748538,0.7751303222696558,-0.9164348917374019,0.36714145279767274,60,double_top_vs_random,VST
548,220.0,0.4071731945705924,0.33421052631578946,0.17453300569806832,0.1602417730772019,0.8736576983263541,60,ma_crossover_vs_random,VST
549,160.0,0.7232528540603052,0.2222222222222222,0.7530240776193452,1.1109343541617602,0.2753305070935705,5,double_top_vs_ma_crossover,VTR
550,66.0,0.742455408194114,0.2727272727272727,0.832587690946824,-0.07264460441585908,0.9431639261366443,5,double_top_vs_random,VTR
551,156.0,0.8217390621824355,0.23232323232323232,0.6946482370814361,-0.6891774481679329,0.5019195677260819,5,ma_crossover_vs_random,VTR
552,131.0,0.702312890536888,0.22377622377622378,0.7521795954449885,-0.16193550778519983,0.8725385369668084,20,double_top_vs_ma_crossover,VTR
553,51.0,0.5541946413838181,0.2727272727272727,0.832587690946824,-1.0020864070908222,0.33047885493575135,20,double_top_vs_random,VTR
554,138.0,0.8811354419813473,0.18181818181818182,0.9115211668048152,-0.8926674078821203,0.38402412812259856,20,ma_crossover_vs_random,VTR
555,135.0,0.8031589084426252,0.21328671328671328,0.7908260835124016,0.03440502703124424,0.9729271744737569,60,double_top_vs_ma_crossover,VTR
556,43.0,0.2638866467455685,0.2727272727272727,0.832587690946824,-0.8333071251532679,0.4162103829301502,60,double_top_vs_random,VTR
557,110.0,0.2801694068894214,0.2762237762237762,0.5005361277281057,-0.94247246306697,0.36269905077613496,60,ma_crossover_vs_random,VTR
558,119.5,0.8317771376862397,0.20634920634920634,0.867792271639684,0.03619149079970307,0.9716619381130829,5,double_top_vs_ma_crossover,VTRS
559,43.0,0.8597475663409357,0.3333333333333333,0.7301110654051831,0.40177531594262267,0.69432546287025,5,double_top_vs_random,VTRS
560,134.0,0.7906265266238263,0.2619047619047619,0.6494338348031995,0.4204955988314412,0.6831224163404821,5,ma_crossover_vs_random,VTRS
561,133.5,0.8042685010979769,0.28174603174603174,0.5420193721050882,0.6225594893333924,0.5395935143512793,20,double_top_vs_ma_crossover,VTRS
562,48.0,0.5362890990054856,0.4444444444444444,0.35170711641299873,0.7246177427449374,0.4839161459498278,20,double_top_vs_random,VTRS
563,144.0,0.5355914444120956,0.376984126984127,0.2320421624386815,0.3843145037713187,0.7081425590968901,20,ma_crossover_vs_random,VTRS
564,144.5,0.523949874968304,0.2698412698412698,0.6105813641114303,0.7328511298046413,0.4749094037915337,60,double_top_vs_ma_crossover,VTRS
565,42.0,0.9296002835321744,0.2222222222222222,0.9894693541752365,-0.030489471284257625,0.9760592853851338,60,double_top_vs_random,VTRS
566,115.0,0.7101192252309518,0.15873015873015872,0.9815265182797734,-0.7053744954885247,0.49259377975849594,60,ma_crossover_vs_random,VTRS
567,296.5,0.2806740474873879,0.23636363636363636,0.5364536869103586,0.5787850069004423,0.5680471817054651,5,double_top_vs_ma_crossover,VZ
568,138.0,0.2997583700887151,0.26666666666666666,0.6781382270680966,0.536294428908261,0.5961629363204921,5,double_top_vs_random,VZ
569,252.5,0.9202685571958971,0.1696969696969697,0.8806971343230033,0.017753784920074924,0.9859555274971206,5,ma_crossover_vs_random,VZ
570,244.5,0.9556536319447082,0.11515151515151516,0.9956954879091318,-0.10960852150676988,0.9136279913817479,20,double_top_vs_ma_crossover,VZ
571,136.0,0.3400858902842717,0.3333333333333333,0.3855465198257425,0.9264063652427207,0.3624441974405509,20,double_top_vs_random,VZ
572,302.5,0.22541020325942696,0.2787878787878788,0.33062062848291984,1.312396652734872,0.19979243913376826,20,ma_crossover_vs_random,VZ
573,259.5,0.4033954606644,0.25892857142857145,0.4456488165051905,0.20448719538247295,0.8400617389286406,60,double_top_vs_ma_crossover,VZ
574,140.0,0.13214331982716346,0.4380952380952381,0.09983615003643688,1.2148820707949246,0.2362335790026491,60,double_top_vs_random,VZ
575,288.5,0.2733078110653716,0.24166666666666667,0.5044572874992517,1.4472125739587975,0.15901610405146419,60,ma_crossover_vs_random,VZ
576,186.0,0.6744484541126426,0.21481481481481482,0.6847646464820917,-0.43028805508447804,0.6701986512683709,5,double_top_vs_ma_crossover,WAB
577,114.0,0.9669037373050736,0.2,0.9383310279844598,0.013147701557939935,0.9896150075892272,5,double_top_vs_random,WAB
