Date,Close,High,Low,Open,Volume
,GEV,GEV,GEV,GEV,GEV
2024-07-22,166.43533325195312,167.92243788718287,163.365333055262,166.05608342111896,1738600
2024-07-23,170.1580810546875,170.6770577095359,165.89638998959805,166.6748702009526,3221800
2024-07-24,162.5828399658203,171.96454801634496,162.413172770414,167.01419805928788,5532100
2024-07-25,159.68849182128906,165.9662389552177,156.1054849410284,165.6768102645874,5163200
2024-07-26,172.77296447753906,173.6372757404362,163.37130655319413,168.13202387638682,3871900
2024-07-29,171.71502685546875,174.42973231536598,169.5193132353085,173.98061149768697,1757800
2024-07-30,162.38323974609375,173.73111408800366,162.13372646583576,172.5933189101084,2639300
2024-07-31,177.8929901123047,179.90406650061178,170.91659345746908,170.91659345746908,4056500
2024-08-01,173.69117736816406,183.50204103272333,171.475498298536,181.5458502830306,3706800
2024-08-02,164.40928649902344,169.659055666593,161.18557917957492,168.4514046883524,3314500
2024-08-05,161.9241485595703,165.068009890847,149.7179475685403,152.1082891272449,3700500
2024-08-06,164.03004455566406,166.1409172632733,159.68850717520505,162.7625127658177,2799900
2024-08-07,165.7467041015625,172.4136922427249,164.3693857967365,168.3316582637093,3312800
2024-08-08,176.86500549316406,177.11451878077816,164.7286755286352,168.870590011396,2755800
2024-08-09,178.76129150390625,179.20043730493703,172.26397129978767,176.1763376276627,2766500
2024-08-12,176.0964813232422,180.14857424070144,174.05046953951225,178.14249310697215,1797800
2024-08-13,179.30023193359375,179.90904492903806,174.97368030691504,177.70335612342032,1551800
2024-08-14,183.80148315429688,184.82947674420376,177.9029850171222,179.64957813790744,2242700
2024-08-15,188.452392578125,190.4285334407217,181.25642306733292,185.1388489950469,3478000
2024-08-16,183.70166015625,188.4524028917915,180.0398120465931,188.35259148526507,2718300
2024-08-19,185.03904724121094,185.14883369647248,180.86219726039945,183.741590334225,1626900
2024-08-20,183.6417694091797,185.63787559840992,181.32627891971347,184.59990708080613,1138200
2024-08-21,183.90127563476562,184.87937872764908,181.4560483607232,183.11282031405662,1601400
2024-08-22,185.63787841796875,186.3814231114442,181.95506000624948,184.63982530819473,2067900
2024-08-23,182.93313598632812,183.20261457272252,172.7330478733311,180.4479936499515,4872700
2024-08-26,181.77540588378906,182.9131857454541,178.8411274960527,181.1266622673595,2176800
2024-08-27,185.18875122070312,186.7357365336769,180.1386050948936,180.6476066809729,1613100
2024-08-28,183.6417694091797,185.00909727549626,180.41806217771577,183.49206753662008,2067600
2024-08-29,190.98744201660156,195.29902349380083,184.99412827178796,185.6378767860761,3155500
2024-08-30,200.60867309570312,200.97794786938906,193.82190897003213,195.47868077097627,3347700
2024-09-03,192.17514038085938,202.20557775654962,187.18287953526098,199.61063343032234,4275300
2024-09-04,199.24134826660156,203.79246803539567,191.747954634351,192.65419161445308,3765100
2024-09-05,198.0536651611328,200.33920012350467,193.89178544477525,196.70628734667164,3064200
2024-09-06,197.94387817382812,200.78832044356417,193.00351824927006,198.60259689152443,3884700
2024-09-09,201.41708374023438,202.53489828379637,196.99571603526033,199.62058520302332,1654700
2024-09-10,201.61669921875,202.60477726027193,198.75229172389362,202.34528893935374,1894700
2024-09-11,208.7427978515625,209.71091056797604,201.10769779848826,203.70264192623043,3787500
2024-09-12,214.85089111328125,216.6673398024435,199.26129162486527,199.6106162950141,4041400
2024-09-13,225.1508026123047,228.23179823809332,218.58361116985526,220.220417698767,3697500
2024-09-16,229.4823455810547,231.05927133133756,224.80148926088904,227.43634887715208,2334900
2024-09-17,236.68829345703125,239.53275096639,233.05538067653762,237.2072853482681,5144000
2024-09-18,235.211181640625,241.0487934809381,233.54443472456774,238.15543535736185,3255900
2024-09-19,243.97409057617188,244.52302285697343,237.64643723150593,242.83131545010536,3060800
2024-09-20,244.98211669921875,250.36061709343292,241.77835959878573,242.75644735696204,4111400
2024-09-23,251.040283203125,254.37377674517035,246.309506249429,247.34249481426494,3336700
2024-09-24,254.98260498046875,256.99867653236066,251.62914591247545,253.50549063774608,3804400
2024-09-25,254.55343627929688,257.2481764984499,251.67903859002377,256.5994481003675,2454200
2024-09-26,250.7309112548828,258.13647896135245,246.5889968121168,257.2581873241254,2817700
2024-09-27,249.37356567382812,253.9346607417599,249.09411200454528,250.2718074352255,2293600
