Date,Close,High,Low,Open,Volume
,LMT,LMT,LMT,LMT,LMT
2015-04-21,148.04440307617188,149.59054138419768,147.15443763068103,149.37182476893423,1421000
2015-04-22,149.05503845214844,149.4019698002754,147.22984535791073,148.35361475623557,1127300
2015-04-23,148.73072814941406,150.03551277534788,147.86338822934096,148.9494562565301,1178700
2015-04-24,147.35049438476562,148.76087960404922,147.07143943876522,148.58740244073635,1307400
2015-04-27,146.19659423828125,148.26314128152666,145.96279013105465,147.55417946711498,1377700
2015-04-28,146.3323516845703,146.52090486009632,144.49960883410375,146.1287110326579,1095600
2015-04-29,144.2732696533203,146.3699904909694,144.0017527577401,145.84958214874342,1427200
2015-04-30,140.73605346679688,144.40152658241763,140.01954240361562,144.0319583239541,2257200
2015-05-01,142.54617309570312,142.6593003757643,140.88690777404096,140.88690777404096,1196000
2015-05-04,143.0666046142578,143.94149408203225,142.6593233237822,142.6970362593258,912400
2015-05-05,141.3017120361328,143.22494464397505,141.1206968988105,142.73471113773468,993600
2015-05-06,140.9095458984375,142.59898631891758,140.21567166548263,142.17661758251907,1192200
2015-05-07,141.9503631591797,142.5084731361028,140.53997772529112,140.77378179760987,1040700
2015-05-08,143.66244506835938,144.08480237781126,142.90823229908855,143.2702627143675,950500
2015-05-11,143.6548614501953,144.19034590158608,142.95343781323385,143.15707841859296,832000
2015-05-12,143.760498046875,144.2884446896973,142.20682156583783,142.71214274599444,941800
2015-05-13,144.05458068847656,144.80125517118356,143.9112784789134,144.03195523521595,980900
2015-05-14,145.60073852539062,145.82700459742014,144.40908128718092,144.52220856901044,1004500
2015-05-15,145.080322265625,146.17392812894204,144.88423115146736,145.58564327809924,1356500
2015-05-18,145.6233673095703,146.03818653304222,145.08033332763813,145.14820969828696,822100
2015-05-19,145.849609375,146.55102143963668,145.49512859769905,145.57809242873478,772100
2015-05-20,145.7515869140625,146.24182050732023,145.15576401571678,146.24182050732023,826500
2015-05-21,145.6459503173828,146.27194796155996,145.20096778388242,145.9928930690881,769700
2015-05-22,145.45741271972656,145.8345189425291,144.92946630947674,145.75909309462114,995600
2015-05-26,143.6850128173828,145.32165248831313,143.40595788751904,145.32165248831313,1380400
2015-05-27,144.31858825683594,144.49959191879398,143.33056006570658,143.6397899993798,1196100
2015-05-28,144.52383422851562,145.01034363347796,143.61922808507808,143.98411883827418,1468900
2015-05-29,143.06431579589844,144.50864902763539,142.62341480511347,144.37940962747948,1517400
2015-06-01,145.24598693847656,146.14298382026973,143.19351442723237,144.0373053309468,2003600
2015-06-02,145.0179901123047,145.41327113109355,143.52045060846774,144.89635982992252,1469200
2015-06-03,145.86929321289062,146.20377049333268,145.0331000117855,145.51201171780892,1340300
2015-06-04,144.56179809570312,146.17335780041782,144.4249728072479,145.01029645136688,1854000
2015-06-05,143.9232635498047,144.2577408472463,143.23910227795702,143.98407865836643,1389100
2015-06-08,143.95370483398438,145.0635605712336,143.71805347315794,143.9309006119237,964800
2015-06-09,143.9384765625,144.8430708940216,143.90046566806382,144.75945156598053,1041200
2015-06-10,143.88528442382812,144.92671583954586,143.55080705254105,143.9385020053049,1729300
2015-06-11,145.55767822265625,145.60328667013272,143.99172632969763,143.99172632969763,1333100
2015-06-12,145.17758178710938,145.59567852402438,144.5998554956535,144.88111530080582,1110100
2015-06-15,144.3717803955078,144.87349640585404,143.6800214963302,144.43259551184954,710600
2015-06-16,145.0559539794922,145.29920286606153,143.58881672243606,143.87007650983455,853800
2015-06-17,145.2079620361328,145.7856881958438,144.21973677404324,145.46641756026958,862100
2015-06-18,146.52310180664062,147.8458048002541,145.4892677838773,145.5728871386339,1159700
2015-06-19,145.29920959472656,146.4774779792038,145.18518848625735,146.4774779792038,1234900
2015-06-22,146.01376342773438,146.69791323320584,145.69449274522782,145.91493740720918,716800
2015-06-23,145.67926025390625,146.6750830251344,145.10153411163165,146.2797906123696,572900
2015-06-24,144.56179809570312,145.79327208898167,144.52378720470043,145.3599804095781,857600
2015-06-25,144.42495727539062,145.32195389025262,144.18929441623592,144.81264048361663,884900
